CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE02614286|JAM MAAS & KEMPEN NV|508735207|BOSLAAN|57||3650|DILSEN-STOKKEM|1
BE02614286|JAM Maas & Kempen|2216081202|Boslaan|57||3650|Dilsen-Stokkem|0
BE02634118|KOSPRI SPRL|524771186|CHAUSSÉE DE JETTE|264 / 1||1081|KOEKELBERG|1
BE02634118|Manneken Pis|2217834526|Chaussée de Helmet|282||1030|Schaerbeek|0
BE02616256|DEMSS BV|508840719|LUIKERSTEENWEG|199||3800|SINT-TRUIDEN|1
BE02616256|DEMSS|2215906107|Luikersteenweg|199||3800|Sint-Truiden|0
BE02633095|SLOTENMAKERIJ CAUWEL BVBA|521994414|LESSENSESTRAAT|42||9500|GERAARDSBERGEN|1
BE02633095|SLOTENMAKERIJ CAUWEL|2221068980|Lessensestraat|42||9500|Geraardsbergen|0
BE02639647|ULTIWEB SPRL|525896782|RUE DE BERRY|90 / 9||5570|BEAURAING|1
BE02639647|ULTIWEB|2218534510|rue du Parc Communal|12/3||5570|Beauraing|0
BE02642997|SPORTSVILLE BV|533695681|LANGE WINKELHAAKSTRAAT|50||2060|ANTWERPEN|1
BE02642997|Sportsville|2219178965|Nationalestraat|79||2000|Antwerpen|0
BE02676440|EXPERT@WORK|540944254|BONIVERLEI|24||2650|EDEGEM|1
BE02676440|Expert@work|2223596623|Boniverlei|24||2650|Edegem|0
BE02613564|TIM TRADE SPRL|508614550|RUE LESBROUSSART|35||1050|IXELLES|1
BE02613564||2282145526|Rue Lesbroussart|35||1050|Ixelles|0
BE02674791|SEBASTIEN LENAIN ARCHITECTURE SRL|540670377|RUE DU BALLON|14||7500|TOURNAI|1
